Round,Client_ID,Score,Status
8,11,Client,1.0644,NORMAL
8,12,Client,1.5805,NORMAL
8,13,Client,1.7946,NORMAL
8,14,Client,2.2157,NORMAL
8,15,Client,3.0891,NORMAL
8,16,Client,1.3590,NORMAL
8,17,Client,1.7925,NORMAL
8,18,Client,1.5005,NORMAL
8,19,Client,2.4538,NORMAL
9,0,Client,0.0000,KICKED
9,1,Client,4.1776,NORMAL
9,2,Client,1.1197,NORMAL
9,3,Client,0.0000,KICKED
9,4,Client,1.0000,"SUSPECT(full:L2-Hi,full:Var-Hi)"
9,5,Client,1.0000,SUSPECT(full:Dist)
9,6,Client,0.0000,KICKED
9,7,Client,0.0000,KICKED
9,8,Client,0.0000,KICKED
9,9,Client,1.4751,NORMAL
9,10,Client,1.9067,NORMAL
9,11,Client,1.0000,SUSPECT(full:Dist)
9,12,Client,8.1108,NORMAL
9,13,Client,1.4816,NORMAL
9,14,Client,1.0000,SUSPECT(full:Dist)
9,15,Client,1.0000,SUSPECT(full:Dist)
9,16,Client,1.0000,SUSPECT(full:Dist)
9,17,Client,1.0000,SUSPECT(full:Dist)
9,18,Client,2.7400,NORMAL
9,19,Client,1.0000,SUSPECT(full:Dist)
10,0,Client,0.0000,KICKED
10,1,Client,1.5471,NORMAL
10,2,Client,3.5687,NORMAL
10,3,Client,0.0000,KICKED
10,4,Client,2.8398,NORMAL
10,5,Client,2.2560,NORMAL
10,6,Client,1.1579,NORMAL
10,7,Client,0.0000,KICKED
10,8,Client,2.1262,NORMAL
10,9,Client,1.6753,NORMAL
10,10,Client,1.9713,NORMAL
10,11,Client,1.8241,NORMAL
10,12,Client,2.1038,NORMAL
10,13,Client,2.5792,NORMAL
10,14,Client,1.7894,NORMAL
10,15,Client,1.6745,NORMAL
10,16,Client,2.4644,NORMAL
10,17,Client,1.8614,NORMAL
10,18,Client,1.3354,NORMAL
10,19,Client,1.3145,NORMAL
